"common_name","acad_global","acad_uscan"
"Black-bellied Whistling-Duck",1000000,NA
"Fulvous Whistling-Duck",1400000,120000
"Emperor Goose",98000,98000
"Snow Goose",16000000,15000000
"Ross's Goose",2100000,1600000
"Greater White-fronted Goose",5500000,4300000
"Brant",490000,340000
"Cackling Goose",4500000,4100000
"Canada Goose",7600000,7500000
"Mute Swan",400000,31000
"Trumpeter Swan",63000,63000
"Tundra Swan",280000,190000
"Muscovy Duck",550000,10
"Wood Duck",4600000,4600000
"Blue-winged Teal",7800000,7800000
"Cinnamon Teal",380000,300000
"Northern Shoveler",5900000,4400000
"Gadwall",4400000,3400000
"Eurasian Wigeon",2000000,NA
"American Wigeon",2700000,2700000
"Mallard",19000000,11000000
"American Black Duck",700000,700000
"Mottled Duck",180000,180000
"Northern Pintail",5100000,3200000
"Green-winged Teal",6700000,3900000
"Canvasback",690000,690000
"Redhead",1200000,1200000
"Ring-necked Duck",2000000,2000000
"Greater Scaup",1200000,720000
"Lesser Scaup",3700000,3700000
"Harlequin Duck",230000,170000
"Surf Scoter",470000,470000
"White-winged Scoter",400000,400000
"Black Scoter",900000,500000
"Long-tailed Duck",3200000,1000000
"Bufflehead",1300000,1300000
"Common Goldeneye",2500000,1200000
"Barrow's Goldeneye",180000,180000
"Mountain Quail",260000,250000
"Northern Bobwhite",5800000,4400000
"Scaled Quail",5100000,2400000
"California Quail",5800000,3400000
"Gambel's Quail",5800000,5200000
"Montezuma Quail",1500000,300000
"Wild Turkey",6900000,6700000
"Ruffed Grouse",18000000,18000000
"Spruce Grouse",11000000,11000000
"Willow Ptarmigan",43000000,13000000
"Rock Ptarmigan",8000000,4000000
"White-tailed Ptarmigan",2000000,2000000
"Greater Sage-Grouse",430000,430000
"Gunnison Sage-Grouse",4800,4800
"Dusky Grouse",200000,200000
"Sooty Grouse",2000000,2000000
"Sharp-tailed Grouse",760000,760000
"Greater Prairie-Chicken",360000,360000
"Lesser Prairie-Chicken",28000,28000
"Gray Partridge",8200000,820000
"Ring-necked Pheasant",56000000,17000000
"Himalayan Snowcock",NA,NA
"Chukar",7800000,390000
"American Flamingo",180000,NA
"Least Grebe",500000,NA
"Pied-billed Grebe",3100000,1100000
"Horned Grebe",620000,250000
"Band-tailed Pigeon",6100000,1500000
"Eurasian Collared-Dove",85000000,8700000
"Spotted Dove",NA,NA
"Inca Dove",4700000,620000
"Common Ground Dove",36000000,2000000
"Ruddy Ground Dove",NA,50
"White-tipped Dove",20000000,10000
"Groove-billed Ani",2000000,28000
"Greater Roadrunner",1400000,840000
"Yellow-billed Cuckoo",9600000,8400000
"Mangrove Cuckoo",200000,2400
"Black-billed Cuckoo",880000,880000
"Lesser Nighthawk",14000000,3800000
"Common Nighthawk",23000000,22000000
"Antillean Nighthawk",200000,50
"Common Pauraque",20000000,5000
"Common Poorwill",1700000,1300000
"Chuck-will's-widow",5700000,5600000
"Black Swift",170000,89000
"Rufous Hummingbird",22000000,22000000
"Allen's Hummingbird",1500000,1500000
"Broad-tailed Hummingbird",9800000,8800000
"Violet-crowned Hummingbird",2000000,200
"Common Gallinule",5100000,500000
"American Coot",7100000,5500000
"Purple Gallinule",390000,20000
"Yellow Rail",12000,12000
"Black Rail",52000,NA
"Limpkin",1000000,9000
"Sandhill Crane",560000,500000
"Whooping Crane",280,280
"Black-necked Stilt",900000,180000
"Ruddy Turnstone",600000,250000
"Black Turnstone",95000,95000
"Red Knot",1000000,140000
"Surfbird",70000,70000
"Sharp-tailed Sandpiper",160000,24000
"Purple Sandpiper",250000,25000
"Baird's Sandpiper",300000,280000
"Least Sandpiper",700000,700000
"White-rumped Sandpiper",1700000,1700000
"Dovekie",17000000,1500
"Common Murre",12000000,7400000
"Thick-billed Murre",15000000,8000000
"Razorbill",1200000,76000
"Black Guillemot",750000,500000
"Pigeon Guillemot",360000,240000
"Marbled Murrelet",360000,360000
"Kittlitz's Murrelet",44000,NA
"Scripps's Murrelet",15000,NA
"Guadalupe Murrelet",5000,NA
"Craveri's Murrelet",8000,NA
"Ancient Murrelet",1000000,1000000
"Cassin's Auklet",3600000,3200000
"Parakeet Auklet",1400000,NA
"Least Auklet",20000000,NA
"Whiskered Auklet",67000,NA
"Crested Auklet",5500000,NA
"Rhinoceros Auklet",1500000,900000
"Atlantic Puffin",12000000,380000
"Horned Puffin",800000,NA
"Sabine's Gull",340000,NA
"Bonaparte's Gull",790000,790000
"Black-headed Gull",4600000,NA
"Little Gull",120000,NA
"Ross's Gull",42000,NA
"Laughing Gull",1600000,680000
"Franklin's Gull",2300000,2300000
"Heermann's Gull",350000,NA
"Short-billed Gull",1300000,1300000
"Ring-billed Gull",3800000,3700000
"Western Gull",86000,44000
"Yellow-footed Gull",40000,NA
"California Gull",1100000,1100000
"Herring Gull",3900000,2900000
"Iceland Gull",220000,84000
"Lesser Black-backed Gull",1000000,NA
"Slaty-backed Gull",340000,NA
"Glaucous-winged Gull",470000,440000
"Glaucous Gull",970000,170000
"Great Black-backed Gull",370000,150000
"Brown Noddy",1600000,NA
"Sooty Tern",47000000,NA
"Bridled Tern",700000,NA
"Aleutian Tern",22000,NA
"Least Tern",120000,52000
"Gull-billed Tern",190000,8000
"Caspian Tern",530000,78000
"Black Tern",5100000,2300000
"Roseate Tern",160000,NA
"Common Tern",2800000,470000
"Arctic Tern",3000000,1500000
"Forster's Tern",150000,130000
"Royal Tern",55000,35000
"Sandwich Tern",1000000,94000
"Elegant Tern",180000,NA
"Black Skimmer",800000,60000
"Red-throated Loon",1400000,360000
"Arctic Loon",590000,NA
"Black-footed Albatross",130000,NA
"Short-tailed Albatross",1600,NA
"Wilson's Storm-Petrel",14000000,NA
"White-faced Storm-Petrel",2700000,NA
"Fork-tailed Storm-Petrel",4000000,NA
"Leach's Storm-Petrel",13000000,NA
"Townsend's Storm-Petrel",7000,NA
"Ashy Storm-Petrel",5100,NA
"Band-rumped Storm-Petrel",110000,NA
"Wedge-rumped Storm-Petrel",NA,NA
"Black Storm-Petrel",600000,NA
"Least Storm-Petrel",NA,NA
"Northern Fulmar",14000000,2200000
"Trindade Petrel",2250,NA
"Murphy's Petrel",270000,NA
"Mottled Petrel",780000,NA
"Bermuda Petrel",140,NA
"Black-capped Petrel",1500,NA
"Hawaiian Petrel",8500,NA
"Fea's Petrel",1500,NA
"Cook's Petrel",670000,NA
"Bulwer's Petrel",750000,NA
"Cory's Shearwater",510000,NA
"Wedge-tailed Shearwater",3500000,NA
"Buller's Shearwater",1700000,NA
"Manx Shearwater",740000,NA
"Black-vented Shearwater",160000,NA
"Audubon's Shearwater",35000,NA
"Wood Stork",450000,16000
"Magnificent Frigatebird",130000,NA
"Masked Booby",100000,NA
"Great Cormorant",1400000,NA
"Double-crested Cormorant",630000,560000
"Neotropic Cormorant",NA,NA
"American White Pelican",450000,410000
"Brown Pelican",370000,100000
"American Bittern",2500000,2500000
"Least Bittern",310000,130000
"Great Blue Heron",700000,620000
"Great Egret",9500000,710000
"Cattle Egret",48000000,2800000
"Green Heron",1200000,770000
