"common_name","stratum","country","pop_est"
"Plain Chachalaca","36_TX","USA",NA
"Mountain Quail","15_CA","USA",87000
"Mountain Quail","32_CA","USA",84000
"Mountain Quail","5_CA","USA",39000
"Mountain Quail","5_OR","USA",18000
"Mountain Quail","9_CA","USA",15000
"Mountain Quail","9_OR","USA",4700
"Mountain Quail","10_OR","USA",1900
"Mountain Quail","15_NV","USA",910
"Mountain Quail","5_WA","USA",170
"Northern Bobwhite","19_OK","USA",NA
"Northern Bobwhite","19_KS","USA",NA
"Northern Bobwhite","19_TX","USA",NA
"Northern Bobwhite","22_MO","USA",NA
"Northern Bobwhite","36_TX","USA",NA
"Northern Bobwhite","22_KS","USA",NA
"Northern Bobwhite","19_NE","USA",NA
"Northern Bobwhite","22_IL","USA",NA
"Northern Bobwhite","21_TX","USA",NA
"Northern Bobwhite","27_GA","USA",NA
"Northern Bobwhite","18_TX","USA",NA
"Northern Bobwhite","37_TX","USA",NA
"Northern Bobwhite","24_MO","USA",NA
"Northern Bobwhite","24_KY","USA",NA
"Northern Bobwhite","21_OK","USA",NA
"Northern Bobwhite","31_FL","USA",NA
"Northern Bobwhite","27_NC","USA",NA
"Northern Bobwhite","27_FL","USA",NA
"Northern Bobwhite","22_IA","USA",NA
"Northern Bobwhite","27_MS","USA",NA
"Northern Bobwhite","27_AL","USA",NA
"Northern Bobwhite","20_TX","USA",NA
"Northern Bobwhite","24_IN","USA",NA
"Northern Bobwhite","27_SC","USA",NA
"Northern Bobwhite","25_OK","USA",NA
"Northern Bobwhite","22_OK","USA",NA
"Northern Bobwhite","24_IL","USA",NA
"Northern Bobwhite","24_AR","USA",NA
"Northern Bobwhite","22_IN","USA",NA
"Northern Bobwhite","35_TX","USA",NA
"Northern Bobwhite","25_AR","USA",NA
"Northern Bobwhite","24_TN","USA",NA
"Northern Bobwhite","27_VA","USA",NA
"Northern Bobwhite","29_VA","USA",NA
"Northern Bobwhite","26_MO","USA",NA
"Northern Bobwhite","18_NM","USA",NA
"Northern Bobwhite","27_TN","USA",NA
"Northern Bobwhite","29_SC","USA",NA
"Northern Bobwhite","11_NE","USA",NA
"Northern Bobwhite","26_LA","USA",NA
"Northern Bobwhite","29_NC","USA",NA
"Northern Bobwhite","28_AL","USA",NA
"Northern Bobwhite","22_OH","USA",NA
"Northern Bobwhite","26_MS","USA",NA
"Northern Bobwhite","26_AR","USA",NA
"Northern Bobwhite","22_NE","USA",NA
"Northern Bobwhite","18_KS","USA",NA
"Northern Bobwhite","29_GA","USA",NA
"Northern Bobwhite","18_OK","USA",NA
"Northern Bobwhite","25_LA","USA",NA
"Northern Bobwhite","37_LA","USA",NA
"Northern Bobwhite","27_KY","USA",NA
"Northern Bobwhite","18_NE","USA",NA
"Northern Bobwhite","28_TN","USA",NA
"Northern Bobwhite","26_TN","USA",NA
"Northern Bobwhite","27_LA","USA",NA
"Northern Bobwhite","30_MD","USA",NA
"Northern Bobwhite","25_TX","USA",NA
"Northern Bobwhite","24_AL","USA",NA
"Northern Bobwhite","23_IN","USA",NA
"Northern Bobwhite","28_KY","USA",NA
"Northern Bobwhite","18_CO","USA",NA
"Northern Bobwhite","29_AL","USA",NA
"Northern Bobwhite","28_VA","USA",NA
"Northern Bobwhite","24_OK","USA",NA
"Northern Bobwhite","23_WI","USA",NA
"Northern Bobwhite","23_MI","USA",NA
"Northern Bobwhite","30_VA","USA",NA
"Northern Bobwhite","28_GA","USA",NA
"Northern Bobwhite","30_DE","USA",NA
"Northern Bobwhite","28_OH","USA",NA
"Northern Bobwhite","28_NC","USA",NA
"Northern Bobwhite","17_SD","USA",NA
"Northern Bobwhite","11_SD","USA",NA
"Northern Bobwhite","19_SD","USA",NA
"Northern Bobwhite","24_OH","USA",NA
"Northern Bobwhite","26_KY","USA",NA
"Northern Bobwhite","21_KS","USA",NA
"Northern Bobwhite","28_PA","USA",NA
"Northern Bobwhite","26_IL","USA",NA
"Northern Bobwhite","18_WY","USA",NA
"Northern Bobwhite","35_NM","USA",NA
"Northern Bobwhite","11_IA","USA",NA
"Northern Bobwhite","23_IL","USA",NA
"Northern Bobwhite","23_MN","USA",NA
"Northern Bobwhite","29_PA","USA",NA
"Northern Bobwhite","30_MA","USA",NA
"Northern Bobwhite","13_OH","USA",NA
"Northern Bobwhite","30_NJ","USA",NA
"Northern Bobwhite","12_WI","USA",NA
"Northern Bobwhite","28_SC","USA",NA
"Northern Bobwhite","28_WV","USA",NA
"Northern Bobwhite","14_ME","USA",NA
"Northern Bobwhite","12_MI","USA",NA
"Northern Bobwhite","17_NE","USA",NA
"Northern Bobwhite","12_MN","USA",NA
"Northern Bobwhite","30_NY","USA",NA
"Northern Bobwhite","28_NY","USA",NA
"Northern Bobwhite","13_NY","USA",NA
"Northern Bobwhite","5_OR","USA",NA
"Northern Bobwhite","24_KS","USA",NA
"Northern Bobwhite","11_MN","USA",NA
"Northern Bobwhite","23_OH","USA",NA
"Northern Bobwhite","13_PA","USA",NA
"Northern Bobwhite","30_NH","USA",NA
"Northern Bobwhite","37_MS","USA",NA
"Northern Bobwhite","28_NJ","USA",NA
"Northern Bobwhite","28_MD","USA",NA
"Northern Bobwhite","14_VT","USA",NA
"Northern Bobwhite","29_MD","USA",NA
"Northern Bobwhite","30_PA","USA",NA
"Northern Bobwhite","29_DE","USA",NA
"Scaled Quail","35_TX","USA",690000
"Scaled Quail","35_NM","USA",500000
"Scaled Quail","18_NM","USA",420000
"Scaled Quail","18_TX","USA",390000
"Scaled Quail","36_TX","USA",93000
"Scaled Quail","18_CO","USA",90000
"Scaled Quail","34_AZ","USA",77000
"Scaled Quail","16_NM","USA",53000
"Scaled Quail","34_NM","USA",34000
"Scaled Quail","18_OK","USA",18000
"Scaled Quail","19_TX","USA",12000
"Scaled Quail","35_AZ","USA",6400
"Scaled Quail","19_OK","USA",2200
"Scaled Quail","37_TX","USA",1900
"Scaled Quail","21_TX","USA",1600
"Scaled Quail","16_CO","USA",540
"Scaled Quail","16_UT","USA",270
"California Quail","32_CA","USA",1200000
"California Quail","9_WA","USA",610000
"California Quail","9_NV","USA",300000
"California Quail","9_OR","USA",290000
"California Quail","33_CA","USA",150000
"California Quail","9_CA","USA",140000
"California Quail","5_CA","USA",130000
"California Quail","9_ID","USA",120000
"California Quail","15_CA","USA",85000
"California Quail","9_BC","CAN",85000
"California Quail","5_OR","USA",64000
"California Quail","10_OR","USA",47000
"California Quail","10_WA","USA",36000
"California Quail","5_BC","CAN",31000
"California Quail","10_ID","USA",26000
"California Quail","5_WA","USA",23000
"California Quail","10_BC","CAN",19000
"California Quail","9_UT","USA",4400
"California Quail","16_UT","USA",3700
"California Quail","15_NV","USA",2000
"California Quail","35_NM","USA",950
"Gambel's Quail","33_AZ","USA",2000000
"Gambel's Quail","34_AZ","USA",1100000
"Gambel's Quail","35_NM","USA",630000
"Gambel's Quail","35_TX","USA",400000
"Gambel's Quail","33_CA","USA",360000
"Gambel's Quail","33_NV","USA",180000
"Gambel's Quail","16_AZ","USA",140000
"Gambel's Quail","16_NM","USA",130000
"Gambel's Quail","34_NM","USA",96000
"Gambel's Quail","16_UT","USA",49000
"Gambel's Quail","9_ID","USA",41000
"Gambel's Quail","16_CO","USA",18000
"Gambel's Quail","9_NV","USA",18000
"Gambel's Quail","35_AZ","USA",16000
"Gambel's Quail","33_UT","USA",4300
"Gambel's Quail","16_NV","USA",780
"Montezuma Quail","34_AZ","USA",NA
"Montezuma Quail","35_TX","USA",NA
"Montezuma Quail","34_NM","USA",NA
"Montezuma Quail","16_NM","USA",NA
"Montezuma Quail","35_NM","USA",NA
"Montezuma Quail","35_AZ","USA",NA
"Chukar","9_OR","USA",110000
"Chukar","9_NV","USA",100000
"Chukar","9_UT","USA",50000
"Chukar","33_NV","USA",49000
"Chukar","33_CA","USA",22000
"Chukar","9_WA","USA",17000
"Chukar","9_ID","USA",9700
"Chukar","16_UT","USA",8800
"Chukar","10_WY","USA",7100
"Chukar","10_ID","USA",5600
"Chukar","10_OR","USA",5500
"Chukar","16_CO","USA",2800
"Chukar","9_CA","USA",2800
"Chukar","9_BC","CAN",2600
"Chukar","16_AZ","USA",970
"Chukar","32_CA","USA",390
"Chukar","33_UT","USA",320
"Chukar","10_UT","USA",98
"Gray Partridge","11_SK","CAN",250000
"Gray Partridge","11_MT","USA",140000
"Gray Partridge","11_AB","CAN",140000
"Gray Partridge","11_ND","USA",54000
"Gray Partridge","17_ND","USA",36000
"Gray Partridge","17_MT","USA",31000
"Gray Partridge","9_ID","USA",24000
"Gray Partridge","11_MB","CAN",23000
"Gray Partridge","11_IA","USA",19000
"Gray Partridge","9_WA","USA",16000
"Gray Partridge","6_SK","CAN",15000
"Gray Partridge","11_MN","USA",12000
"Gray Partridge","9_NV","USA",11000
"Gray Partridge","10_MT","USA",11000
"Gray Partridge","11_SD","USA",6600
"Gray Partridge","22_IA","USA",6200
"Gray Partridge","10_ID","USA",5400
"Gray Partridge","6_MB","CAN",4700
"Gray Partridge","9_OR","USA",4600
"Gray Partridge","6_AB","CAN",4000
"Gray Partridge","17_SD","USA",2500
"Gray Partridge","13_ON","CAN",1800
"Gray Partridge","10_WY","USA",1500
"Gray Partridge","17_WY","USA",1100
"Gray Partridge","10_WA","USA",1000
"Gray Partridge","23_MN","USA",680
"Gray Partridge","23_WI","USA",670
"Gray Partridge","22_IL","USA",290
"Gray Partridge","9_BC","CAN",270
"Gray Partridge","17_NE","USA",91
"Gray Partridge","9_WY","USA",16
"Ring-necked Pheasant","11_SD","USA",2100000
"Ring-necked Pheasant","17_ND","USA",2000000
"Ring-necked Pheasant","19_KS","USA",1400000
"Ring-necked Pheasant","11_ND","USA",1400000
"Ring-necked Pheasant","19_NE","USA",1000000
"Ring-necked Pheasant","17_MT","USA",670000
"Ring-necked Pheasant","17_SD","USA",650000
"Ring-necked Pheasant","22_IA","USA",600000
"Ring-necked Pheasant","11_MT","USA",600000
"Ring-necked Pheasant","18_KS","USA",550000
"Ring-necked Pheasant","18_CO","USA",420000
"Ring-necked Pheasant","18_NE","USA",410000
"Ring-necked Pheasant","11_MN","USA",410000
"Ring-necked Pheasant","18_TX","USA",380000
"Ring-necked Pheasant","9_WA","USA",310000
"Ring-necked Pheasant","23_MN","USA",300000
"Ring-necked Pheasant","9_ID","USA",250000
"Ring-necked Pheasant","11_IA","USA",240000
"Ring-necked Pheasant","9_OR","USA",190000
"Ring-necked Pheasant","22_IL","USA",190000
"Ring-necked Pheasant","10_WY","USA",190000
"Ring-necked Pheasant","23_WI","USA",160000
"Ring-necked Pheasant","10_MT","USA",160000
"Ring-necked Pheasant","19_OK","USA",140000
"Ring-necked Pheasant","22_NE","USA",120000
"Ring-necked Pheasant","11_AB","CAN",110000
"Ring-necked Pheasant","32_CA","USA",100000
"Ring-necked Pheasant","4_AK","USA",100000
"Ring-necked Pheasant","11_NE","USA",93000
"Ring-necked Pheasant","23_MI","USA",82000
"Ring-necked Pheasant","18_OK","USA",76000
"Ring-necked Pheasant","9_UT","USA",73000
"Ring-necked Pheasant","11_SK","CAN",70000
"Ring-necked Pheasant","14_NS","CAN",70000
"Ring-necked Pheasant","9_NV","USA",62000
"Ring-necked Pheasant","22_KS","USA",59000
"Ring-necked Pheasant","22_MO","USA",58000
"Ring-necked Pheasant","22_MI","USA",55000
"Ring-necked Pheasant","22_MN","USA",53000
"Ring-necked Pheasant","17_WY","USA",49000
"Ring-necked Pheasant","18_WY","USA",46000
"Ring-necked Pheasant","22_IN","USA",38000
"Ring-necked Pheasant","12_MI","USA",37000
"Ring-necked Pheasant","9_BC","CAN",35000
"Ring-necked Pheasant","9_CA","USA",31000
"Ring-necked Pheasant","17_NE","USA",31000
"Ring-necked Pheasant","18_SD","USA",28000
"Ring-necked Pheasant","5_OR","USA",26000
"Ring-necked Pheasant","16_UT","USA",26000
"Ring-necked Pheasant","22_OH","USA",24000
"Ring-necked Pheasant","19_TX","USA",22000
"Ring-necked Pheasant","10_OR","USA",22000
"Ring-necked Pheasant","16_CO","USA",21000
"Ring-necked Pheasant","10_ID","USA",21000
"Ring-necked Pheasant","33_CA","USA",18000
"Ring-necked Pheasant","14_NB","CAN",18000
"Ring-necked Pheasant","13_NY","USA",14000
"Ring-necked Pheasant","28_PA","USA",12000
"Ring-necked Pheasant","35_NM","USA",12000
"Ring-necked Pheasant","23_IN","USA",11000
"Ring-necked Pheasant","19_SD","USA",10000
"Ring-necked Pheasant","12_WI","USA",9500
