"common_name","acad","pif_reg","fws_reg"
"Black-bellied Whistling-Duck","Yes","No","No"
"Fulvous Whistling-Duck","Yes","No","No"
"Emperor Goose","Yes","No","No"
"Snow Goose","Yes","No","No"
"Ross's Goose","Yes","No","No"
"Greater White-fronted Goose","Yes","No","No"
"Brant","Yes","No","No"
"Cackling Goose","Yes","No","No"
"Canada Goose","Yes","No","Yes"
"Mute Swan","Yes","No","No"
"Trumpeter Swan","Yes","No","Yes"
"Tundra Swan","Yes","No","No"
"Muscovy Duck","Yes","No","No"
"Wood Duck","Yes","No","No"
"Blue-winged Teal","Yes","No","Yes"
"Cinnamon Teal","Yes","No","No"
"Northern Shoveler","Yes","No","Yes"
"Gadwall","Yes","No","Yes"
"Eurasian Wigeon","Yes","No","No"
"American Wigeon","Yes","No","Yes"
"Mallard","Yes","No","Yes"
"American Black Duck","Yes","No","Yes"
"Mottled Duck","Yes","No","No"
"Northern Pintail","Yes","No","Yes"
"Green-winged Teal","Yes","No","No"
"Canvasback","Yes","No","Yes"
"Redhead","Yes","No","Yes"
"Ring-necked Duck","Yes","No","Yes"
"Greater Scaup","Yes","No","No"
"Lesser Scaup","Yes","No","Yes"
"Harlequin Duck","Yes","No","No"
"Surf Scoter","Yes","No","No"
"White-winged Scoter","Yes","No","No"
"Black Scoter","Yes","No","No"
"Long-tailed Duck","Yes","No","No"
"Bufflehead","Yes","No","Yes"
"Common Goldeneye","Yes","No","Yes"
"Barrow's Goldeneye","Yes","No","No"
"Mountain Quail","Yes","Yes","No"
"Northern Bobwhite","Yes","Yes","No"
"Scaled Quail","Yes","Yes","No"
"California Quail","Yes","Yes","No"
"Gambel's Quail","Yes","Yes","No"
"Montezuma Quail","Yes","Yes","No"
"Wild Turkey","Yes","Yes","No"
"Ruffed Grouse","Yes","Yes","No"
"Spruce Grouse","Yes","Yes","No"
"Willow Ptarmigan","Yes","Yes","No"
"Rock Ptarmigan","Yes","Yes","No"
"White-tailed Ptarmigan","Yes","No","No"
"Greater Sage-Grouse","Yes","Yes","No"
"Gunnison Sage-Grouse","Yes","Yes","No"
"Dusky Grouse","Yes","Yes","No"
"Sooty Grouse","Yes","Yes","No"
"Sharp-tailed Grouse","Yes","Yes","No"
"Greater Prairie-Chicken","Yes","Yes","No"
"Lesser Prairie-Chicken","Yes","Yes","No"
"Gray Partridge","Yes","Yes","No"
"Ring-necked Pheasant","Yes","Yes","No"
"Himalayan Snowcock","Yes","No","No"
"Chukar","Yes","Yes","No"
"American Flamingo","Yes","No","No"
"Least Grebe","Yes","No","No"
"Pied-billed Grebe","Yes","No","No"
"Horned Grebe","Yes","No","No"
"Band-tailed Pigeon","Yes","Yes","No"
"Eurasian Collared-Dove","Yes","Yes","No"
"Spotted Dove","Yes","No","No"
"Inca Dove","Yes","Yes","No"
"Common Ground Dove","Yes","Yes","No"
"Ruddy Ground Dove","Yes","No","No"
"White-tipped Dove","Yes","No","No"
"Groove-billed Ani","Yes","Yes","No"
"Greater Roadrunner","Yes","Yes","No"
"Yellow-billed Cuckoo","Yes","Yes","No"
"Mangrove Cuckoo","Yes","Yes","No"
"Black-billed Cuckoo","Yes","Yes","No"
"Lesser Nighthawk","Yes","Yes","No"
"Common Nighthawk","Yes","Yes","No"
"Antillean Nighthawk","Yes","No","No"
"Common Pauraque","Yes","No","No"
"Common Poorwill","Yes","Yes","No"
"Chuck-will's-widow","Yes","Yes","No"
"Black Swift","Yes","Yes","No"
"Rufous Hummingbird","Yes","Yes","No"
"Allen's Hummingbird","Yes","Yes","No"
"Broad-tailed Hummingbird","Yes","Yes","No"
"Violet-crowned Hummingbird","Yes","No","No"
"Common Gallinule","Yes","No","No"
"American Coot","Yes","No","Yes"
"Purple Gallinule","Yes","No","No"
"Yellow Rail","Yes","No","No"
"Black Rail","Yes","No","No"
"Limpkin","Yes","No","No"
"Sandhill Crane","Yes","No","No"
"Whooping Crane","Yes","No","No"
"Black-necked Stilt","Yes","No","No"
"Ruddy Turnstone","Yes","No","No"
"Black Turnstone","Yes","No","No"
"Red Knot","Yes","No","No"
"Surfbird","Yes","No","No"
"Sharp-tailed Sandpiper","Yes","No","No"
"Purple Sandpiper","Yes","No","No"
"Baird's Sandpiper","Yes","No","No"
"Least Sandpiper","Yes","No","No"
"White-rumped Sandpiper","Yes","No","No"
"Dovekie","Yes","No","No"
"Common Murre","Yes","No","No"
"Thick-billed Murre","Yes","No","No"
"Razorbill","Yes","No","No"
"Black Guillemot","Yes","No","No"
"Pigeon Guillemot","Yes","No","No"
"Marbled Murrelet","Yes","No","No"
"Kittlitz's Murrelet","Yes","No","No"
"Scripps's Murrelet","Yes","No","No"
"Guadalupe Murrelet","Yes","No","No"
"Craveri's Murrelet","Yes","No","No"
"Ancient Murrelet","Yes","No","No"
"Cassin's Auklet","Yes","No","No"
"Parakeet Auklet","Yes","No","No"
"Least Auklet","Yes","No","No"
"Whiskered Auklet","Yes","No","No"
"Crested Auklet","Yes","No","No"
"Rhinoceros Auklet","Yes","No","No"
"Atlantic Puffin","Yes","No","No"
"Horned Puffin","Yes","No","No"
"Sabine's Gull","Yes","No","No"
"Bonaparte's Gull","Yes","No","No"
"Black-headed Gull","Yes","No","No"
"Little Gull","Yes","No","No"
"Ross's Gull","Yes","No","No"
"Laughing Gull","Yes","No","No"
"Franklin's Gull","Yes","No","No"
"Heermann's Gull","Yes","No","No"
"Short-billed Gull","Yes","No","No"
"Ring-billed Gull","Yes","No","No"
"Western Gull","Yes","No","No"
"Yellow-footed Gull","Yes","No","No"
"California Gull","Yes","No","No"
"Herring Gull","Yes","No","No"
"Iceland Gull","Yes","No","No"
"Lesser Black-backed Gull","Yes","No","No"
"Slaty-backed Gull","Yes","No","No"
"Glaucous-winged Gull","Yes","No","No"
"Glaucous Gull","Yes","No","No"
"Great Black-backed Gull","Yes","No","No"
"Brown Noddy","Yes","No","No"
"Sooty Tern","Yes","No","No"
"Bridled Tern","Yes","No","No"
"Aleutian Tern","Yes","No","No"
"Least Tern","Yes","No","No"
"Gull-billed Tern","Yes","No","No"
