"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Yellow-bellied Sapsucker","Yes","Yes","No","No","No"
"Abert's Towhee","Yes","No","No","No","No"
"Ash-breasted Sierra Finch","Yes","No","No","No","No"
"Acadian Flycatcher","Yes","No","No","No","No"
"Acorn Woodpecker","Yes","No","No","No","No"
"Adelaide's Warbler","Yes","No","No","No","No"
"African Collared-Dove","Yes","No","No","No","No"
"African Fish-Eagle","Yes","No","No","No","No"
"African Marsh Harrier","Yes","No","No","No","No"
"African Palm Swift","Yes","No","No","No","No"
"African Hawk-Eagle","Yes","No","No","No","No"
"African Jacana","Yes","No","No","No","No"
"African Skimmer","Yes","No","No","No","No"
"African Spoonbill","Yes","No","No","No","No"
"Agami Heron","Yes","No","No","No","No"
"Alder Flycatcher","Yes","Yes","Yes","No","No"
"Alexandrine Parakeet","Yes","No","No","No","No"
"Aleutian Tern","Yes","No","No","No","No"
"Allen's Hummingbird","Yes","No","No","No","No"
"Alpine Accentor","Yes","No","No","No","No"
"Alpine Swift","Yes","No","No","No","No"
"Altamira Oriole","Yes","No","No","No","No"
"Altamira Yellowthroat","Yes","No","No","No","No"
"Amazon Kingfisher","Yes","No","No","No","No"
"American Black Duck","Yes","No","No","No","No"
"American Avocet","Yes","No","No","No","No"
"American Bittern","Yes","No","No","No","No"
"American Crow","Yes","Yes","No","No","No"
"American Dipper","Yes","No","No","No","No"
"American Goldfinch","Yes","Yes","No","No","No"
"American Kestrel","Yes","No","No","No","No"
"American Oystercatcher","Yes","No","No","No","No"
"American Pipit","Yes","Yes","Yes","No","No"
"American Redstart","Yes","Yes","No","No","No"
"American Robin","Yes","Yes","No","No","No"
"American Wigeon","Yes","No","No","No","No"
"American Woodcock","Yes","No","No","No","No"
"American Golden-Plover","Yes","No","No","No","No"
"American Herring Gull","Yes","No","No","No","No"
"American Pygmy Kingfisher","Yes","No","No","No","No"
"Amethyst-throated Mountain-gem","Yes","No","No","No","No"
"American Tree Sparrow","Yes","Yes","Yes","No","No"
"Amur Falcon","Yes","No","No","No","No"
"Amur Paradise-Flycatcher","Yes","No","No","No","No"
"American White Pelican","Yes","No","No","No","No"
"Antillean Crested Hummingbird","Yes","No","No","No","No"
"Ancient Murrelet","Yes","No","No","No","No"
"Andean Avocet","Yes","No","No","No","No"
"Andean Condor","Yes","No","No","No","No"
"Andean Duck","Yes","No","No","No","No"
"Andean Emerald","Yes","No","No","No","No"
"Andean Flamingo","Yes","No","No","No","No"
"Andean Flicker","Yes","No","No","No","No"
"Andean Goose","Yes","No","No","No","No"
"Andean Guan","Yes","No","No","No","No"
"Andean Gull","Yes","No","No","No","No"
"Andean Hillstar","Yes","No","No","No","No"
"Andean Lapwing","Yes","No","No","No","No"
"Andean Negrito","Yes","No","No","No","No"
"Andean Solitaire","Yes","No","No","No","No"
"Andean Swallow","Yes","No","No","No","No"
"Andean Swift","Yes","No","No","No","No"
"Andean Tinamou","Yes","No","No","No","No"
"Southern Giant-Petrel","Yes","No","No","No","No"
"Anhinga","Yes","No","No","No","No"
"Anna's Hummingbird","Yes","No","No","No","No"
"Antillean Palm Swift","Yes","No","No","No","No"
"Hispaniolan Euphonia","Yes","No","No","No","No"
"Puerto Rican Euphonia","Yes","No","No","No","No"
"Lesser Antillean Euphonia","Yes","No","No","No","No"
"Hispaniolan Mango","Yes","No","No","No","No"
"Puerto Rican Mango","Yes","No","No","No","No"
"Antillean Nighthawk","Yes","No","No","No","No"
"Antillean Piculet","Yes","No","No","No","No"
"Antillean Siskin","Yes","No","No","No","No"
"Apical Flycatcher","Yes","No","No","No","No"
"Aplomado Falcon","Yes","No","No","No","No"
"Arctic Loon","Yes","No","No","No","No"
"Arctic Tern","Yes","No","No","No","No"
"Arctic Warbler","Yes","No","No","No","No"
"Kamchatka Leaf Warbler","Yes","No","No","No","No"
"Arizona Woodpecker","Yes","No","No","No","No"
"Arrowhead Warbler","Yes","No","No","No","No"
"Ashy-crowned Sparrow-Lark","Yes","No","No","No","No"
"Asian Fairy-bluebird","Yes","No","No","No","No"
"Ashy-faced Owl","Yes","No","No","No","No"
"Asian Glossy Starling","Yes","No","No","No","No"
"Ashy-headed Goose","Yes","No","No","No","No"
"Asian House-Martin","Yes","No","No","No","No"
"Ashy Prinia","Yes","No","No","No","No"
"Ashy Tailorbird","Yes","No","No","No","No"
"Asian Dowitcher","Yes","No","No","No","No"
"Fork-tailed Drongo-Cuckoo","Yes","No","No","No","No"
"Asian Koel","Yes","No","No","No","No"
"Pacific Koel","Yes","No","No","No","No"
"Asian Stubtail","Yes","No","No","No","No"
"Indian Paradise-Flycatcher","Yes","No","No","No","No"
