"common_name","stratum","pop_est"
"American Green-winged Teal",1,6612
"American Wigeon",1,5436
"Bufflehead",1,923
"Canada Goose",1,1076
"Gadwall",1,377
"Common Goldeneye",1,5824
"Mallard",1,11519
"Common Merganser",1,4413
"Northern Pintail",1,7632
"Northern Shoveler",1,416
"Ring-necked Duck",1,499
"Lesser Scaup",1,903
"Trumpeter Swan",1,1179
"Bufflehead",2,9190
"Common Goldeneye",2,1621
"Mallard",2,3207
"Common Merganser",2,1711
"Northern Pintail",2,2255
"Northern Shoveler",2,3009
"Lesser Scaup",2,20028
"Trumpeter Swan",2,1347
"American Green-winged Teal",3,35142
"American Wigeon",3,45397
"Bufflehead",3,26288
"Canada Goose",3,817
"Canvasback",3,9960
"Common Goldeneye",3,17348
"Mallard",3,52475
"Common Merganser",3,3590
"Northern Pintail",3,26252
"Northern Shoveler",3,16098
"Redhead",3,879
"Ring-necked Duck",3,5682
"Lesser Scaup",3,82828
"Trumpeter Swan",3,6360
"American Green-winged Teal",4,52883
"American Wigeon",4,128446
"Bufflehead",4,22154
"Canada Goose",4,28163
"Canvasback",4,42757
"Common Goldeneye",4,1954
"Mallard",4,57017
"Common Merganser",4,1375
"Northern Pintail",4,179375
"Northern Shoveler",4,61665
"Redhead",4,5051
"Ring-necked Duck",4,11970
"Lesser Scaup",4,125138
"Trumpeter Swan",4,8662
"American Green-winged Teal",5,11069
"American Wigeon",5,9100
"Canada Goose",5,1801
"Common Goldeneye",5,12375
"Mallard",5,26701
"Common Merganser",5,4156
"Northern Pintail",5,14471
"Northern Shoveler",5,14616
"Lesser Scaup",5,6239
"Trumpeter Swan",5,1870
"American Green-winged Teal",6,9206
"American Wigeon",6,11352
"Bufflehead",6,1157
"Mallard",6,17025
"Common Merganser",6,2633
"Northern Pintail",6,34089
"Northern Shoveler",6,5557
"Ring-necked Duck",6,2501
"Lesser Scaup",6,8302
"Trumpeter Swan",6,2384
"American Green-winged Teal",7,6680
"American Wigeon",7,4480
"Bufflehead",7,1105
"Canada Goose",7,9039
"Canvasback",7,192
"Common Goldeneye",7,572
"Mallard",7,10530
"Common Merganser",7,2941
"Northern Pintail",7,2186
"Northern Shoveler",7,398
"Ring-necked Duck",7,3581
"Lesser Scaup",7,216
"Trumpeter Swan",7,1049
"American Green-winged Teal",8,14666
"American Wigeon",8,8421
"Canada Goose",8,1267
"Common Goldeneye",8,3167
"Mallard",8,51002
"Common Merganser",8,1671
"Northern Pintail",8,34110
"Northern Shoveler",8,9973
"Lesser Scaup",8,70678
"Trumpeter Swan",8,12938
"American Green-winged Teal",9,43543
"American Wigeon",9,33334
"Canada Goose",9,142371
"Common Goldeneye",9,12535
"Mallard",9,119224
"Common Merganser",9,11851
"Northern Pintail",9,190629
"Northern Shoveler",9,49350
"Ring-necked Duck",9,2617
"Lesser Scaup",9,152460
"Trumpeter Swan",9,34940
"American Green-winged Teal",10,9344
"American Wigeon",10,10730
"Canada Goose",10,9690
"Mallard",10,11205
"Common Merganser",10,7097
"Northern Pintail",10,75849
"Northern Shoveler",10,8472
"Lesser Scaup",10,34514
"Trumpeter Swan",10,4471
"American Green-winged Teal",11,3762
"American Wigeon",11,20736
"Canada Goose",11,6503
"Common Goldeneye",11,3249
"Mallard",11,25263
"Common Merganser",11,3429
"Northern Pintail",11,110487
"Northern Shoveler",11,5117
"Lesser Scaup",11,39951
"Trumpeter Swan",11,14850
"American Green-winged Teal",12,3472
"American Wigeon",12,17873
"Canada Goose",12,1600
"Common Goldeneye",12,5994
"Mallard",12,4246
"Common Merganser",12,844
"Northern Pintail",12,35040
"Northern Shoveler",12,3863
"Ring-necked Duck",12,890
"Lesser Scaup",12,33969
"Trumpeter Swan",12,553
"American Green-winged Teal",13,12880
"American Wigeon",13,266099
"Bufflehead",13,1815
"Canada Goose",13,2275
"Canvasback",13,13828
"Common Goldeneye",13,3954
"Mallard",13,43513
"Common Merganser",13,2434
"Northern Pintail",13,79750
"Northern Shoveler",13,5733
"Ring-necked Duck",13,22564
"Lesser Scaup",13,68971
